AA-A1-A1-01
AA-A1-A1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
1,2,1002,2,2.2698,3.0395,2.238,2.4186,2.493,0.0285,2.929,110.5332,0.2737,0.2478,2,447.3025
1,3,1003,2,2.2647,3.0378,2.2331,2.4169,2.491,0.0391,2.9276,109.1743,0.2734,0.2468,2,447.6223
2,3,2003,82,2.2535,3.0311,2.2186,2.4134,2.4893,0.0518,2.9229,107.5838,0.2729,0.246,3,446.9772
3,3,3003,82,2.2269,3.0061,2.1884,2.4089,2.4854,0.0087,2.906,107.2165,0.2743,0.2499,2,447.3732
4,3,4003,3,2.2667,3.0383,2.2313,2.4162,2.4907,0.008,2.9273,109.2656,0.273,0.2465,3,447.4784
5,3,5003,82,2.2734,3.0223,2.2416,2.4152,2.4892,0.0027,2.9143,107.5318,0.2723,0.2432,3,447.2257
6,3,6003,2,2.2689,3.0357,2.2391,2.4159,2.4914,0.0186,2.9258,109.1731,0.2747,0.2467,2,446.5479
7,3,7003,82,2.2671,3.0201,2.2333,2.4195,2.4942,0.0359,2.9157,107.2841,0.2722,0.2429,3,446.7307
8,3,8003,3,2.256,3.0208,2.2213,2.4139,2.4885,0.002,2.9137,108.2076,0.2724,0.2446,3,447.4327
9,3,9003,82,2.2702,3.0212,2.2371,2.415,2.489,0.0062,2.9143,107.5296,0.272,0.2437,3,447.6191
10,3,10003,3,2.2731,3.0195,2.2418,2.419,2.4935,0.0122,2.9147,108.3169,0.2725,0.2434,3,446.9589
11,3,11003,82,2.2622,3.0193,2.2301,2.4184,2.4935,0.0184,2.9147,107.6886,0.274,0.2451,3,447.0058
12,3,12003,3,2.2624,3.0214,2.2278,2.416,2.4908,0.0043,2.9147,108.6182,0.2727,0.246,3,447.2015
13,3,13003,82,2.2476,3.0167,2.2128,2.4131,2.4886,0.0025,2.9108,106.9401,0.2708,0.2424,3,447.8633
14,3,14003,82,2.2653,3.0181,2.2324,2.4147,2.4896,0.0046,2.9125,107.5187,0.2717,0.242,3,447.7425
15,3,15003,82,2.272,3.0248,2.2405,2.4186,2.4928,0.0175,2.9182,107.6587,0.2724,0.2438,3,447.0341
16,3,16003,3,2.2624,3.0201,2.2295,2.4147,2.4899,0.0235,2.9138,108.0357,0.2723,0.2445,3,447.7206
17,3,17003,3,2.2623,3.02,2.2271,2.4168,2.4919,0.0138,2.9139,108.726,0.2733,0.2457,3,447.3237
18,3,18003,82,2.2703,3.0212,2.2382,2.417,2.4916,0.0052,2.9146,107.9787,0.2713,0.2428,3,447.1894
19,3,19003,3,2.2703,3.0258,2.2366,2.419,2.4932,0.005,2.9185,108.847,0.272,0.2436,3,446.6917
20,3,20003,4,2.2723,3.0205,2.2391,2.4192,2.4936,0.0056,2.9156,108.0279,0.2704,0.2415,4,447.0523
21,3,21003,2,2.2573,3.0228,2.2272,2.4185,2.4925,0.0206,2.9163,108.6577,0.2748,0.247,2,446.7526
22,3,22003,82,2.2747,3.0215,2.2431,2.4149,2.4888,0.005,2.9145,107.76,0.2701,0.2411,4,447.4135
23,3,23003,3,2.272,3.021,2.2404,2.413,2.4871,0.0284,2.912,108.4902,0.2714,0.2431,3,447.4737
24,3,24003,2,2.2628,3.0327,2.2332,2.4109,2.4866,0.0205,2.9226,109.3823,0.2723,0.2476,2,447.3871
25,3,25003,82,2.25,3.0326,2.2153,2.4147,2.4902,0.0241,2.9248,107.7579,0.2712,0.2431,3,446.9369
26,3,26003,3,2.2529,3.0339,2.2184,2.4137,2.4885,0.0087,2.9248,109.9807,0.2726,0.2467,3,447.0847
27,3,27003,3,2.2567,3.0332,2.2219,2.4133,2.4881,0.0084,2.924,108.9006,0.2722,0.2441,3,447.973
28,3,28003,82,2.2581,3.0344,2.2238,2.4162,2.4912,0.0381,2.9268,106.6245,0.2715,0.2415,3,446.8468
29,3,29003,82,2.2255,3.006,2.1833,2.4085,2.4852,0.0326,2.9062,107.6085,0.2732,0.247,2,448.1723
30,3,30003,2,2.2708,3.0366,2.236,2.4161,2.4908,0.0658,2.9266,109.5942,0.2742,0.2473,2,447.2157
31,3,31003,3,2.2763,3.0246,2.2442,2.4172,2.4914,0.0006,2.9163,108.7609,0.2719,0.2442,3,447.031
32,3,32003,82,2.2811,3.0218,2.252,2.4216,2.4953,0.0361,2.9176,107.0408,0.2718,0.243,3,447.0847
33,3,33003,3,2.2651,3.0242,2.2332,2.4198,2.4945,0.0178,2.9178,108.97,0.2728,0.2456,3,446.8863
34,3,34003,3,2.2636,3.0241,2.2321,2.4165,2.491,0.0154,2.9161,108.2033,0.2727,0.2445,3,447.1755
35,3,35003,3,2.2624,3.0215,2.23,2.4152,2.4898,0.0095,2.9145,108.4115,0.2723,0.2443,3,447.5609
36,3,36003,82,2.2763,3.0227,2.2453,2.4213,2.4955,0.0246,2.9173,107.6123,0.2712,0.2408,4,446.8848
37,3,37003,82,2.2638,3.022,2.2294,2.4193,2.4942,0.0013,2.9158,107.5957,0.2709,0.241,4,446.9554
38,3,38003,2,2.2752,3.0208,2.2427,2.4144,2.4883,0.0016,2.9129,108.9717,0.2736,0.2468,2,447.3455
39,3,39003,3,2.2664,3.0253,2.2324,2.4168,2.491,0.0063,2.917,108.9535,0.2715,0.2439,3,447.0771
40,3,40003,2,2.2596,3.033,2.229,2.4081,2.4839,0.0267,2.9219,109.5228,0.2724,0.2485,2,448.0381
41,3,41003,82,2.278,3.0236,2.2439,2.4211,2.4952,0.0098,2.9165,107.8768,0.2733,0.2422,3,446.9786
42,3,42003,82,2.256,3.0401,2.2205,2.4188,2.4936,0.0152,2.9315,107.0173,0.2719,0.2435,3,446.657
43,3,43003,3,2.2623,3.0365,2.2326,2.4108,2.4865,0.0179,2.9242,108.4433,0.2723,0.2459,3,447.6473
44,3,44003,2,2.2614,3.017,2.2288,2.4005,2.4745,0.0849,2.9061,108.9346,0.2729,0.25,2,449.4693
44,4,44004,2,2.2563,3.0177,2.2234,2.4005,2.4747,0.0223,2.9067,108.9172,0.2724,0.2493,2,449.5236
43,4,43004,3,2.2617,3.0352,2.2307,2.4095,2.4852,0.0085,2.9227,109.7408,0.2724,0.2468,3,447.7449
42,4,42004,3,2.2635,3.0408,2.2265,2.4184,2.493,0.0117,2.9318,108.1625,0.2719,0.2443,3,446.6535
41,4,41004,3,2.2701,3.0216,2.2366,2.4196,2.494,0.0004,2.9161,109.592,0.2728,0.2447,3,447.0175
40,4,40004,3,2.2629,3.0388,2.2331,2.4132,2.4889,0.0188,2.9264,108.2587,0.2719,0.2428,3,447.0793
39,4,39004,3,2.2503,3.0226,2.2157,2.4145,2.4892,0.0056,2.9151,108.9871,0.2716,0.2431,3,447.383
38,4,38004,3,2.269,3.0211,2.2361,2.4081,2.4822,0.027,2.9111,109.7885,0.2719,0.2465,3,448.0476
37,4,37004,4,2.2673,3.0259,2.2349,2.4195,2.4941,0.0109,2.9195,108.4473,0.2707,0.2412,4,447.0006
36,4,36004,4,2.2635,3.0194,2.2317,2.4184,2.4931,0.0206,2.9137,108.4711,0.2704,0.2416,4,447.2438
35,4,35004,3,2.2599,3.0221,2.2283,2.4172,2.4921,0.0184,2.9159,108.5045,0.2712,0.2423,3,447.034
34,4,34004,3,2.2695,3.0215,2.2366,2.4147,2.489,0.0038,2.9143,109.5208,0.2722,0.2456,3,447.4933
33,4,33004,3,2.2679,3.0207,2.2333,2.4197,2.4942,0.0317,2.9152,109.0857,0.2709,0.2431,3,446.9092
32,4,32004,3,2.2555,3.0309,2.2259,2.4049,2.4811,0.0072,2.9198,109.688,0.2714,0.2475,3,447.3732
31,4,31004,3,2.271,3.0218,2.2385,2.4149,2.4891,0.01,2.9142,109.7479,0.2727,0.2453,3,447.327
30,4,30004,3,2.2703,3.02,2.2367,2.411,2.4848,0.0303,2.9121,108.7086,0.2732,0.2446,3,447.6543
29,4,29004,3,2.2642,3.0329,2.2334,2.4114,2.4869,0.0128,2.9217,109.6369,0.2712,0.2449,3,447.2479
28,4,28004,82,2.2631,3.0403,2.2295,2.4163,2.4911,0.0685,2.9325,107.4194,0.2701,0.2404,4,446.781
27,4,27004,3,2.2683,3.0367,2.2347,2.4148,2.4892,0.0872,2.9265,110.3114,0.2722,0.2444,3,447.792
26,4,26004,2,2.2583,3.0399,2.2254,2.4137,2.4892,0.022,2.9293,110.7592,0.2739,0.2472,2,447.7087
25,4,25004,82,2.2591,3.0412,2.2235,2.4172,2.4921,0.0439,2.9327,107.5646,0.2709,0.2421,3,446.7688
24,4,24004,2,2.2611,3.0353,2.231,2.4087,2.4846,0.0048,2.923,110.489,0.2732,0.2488,2,447.8544
23,4,23004,3,2.2588,3.0334,2.2263,2.4131,2.4878,0.0393,2.9234,109.7653,0.2727,0.2455,3,447.8849
22,4,22004,3,2.2591,3.0222,2.2244,2.415,2.4894,0.0095,2.9154,109.0888,0.2717,0.2436,3,447.3663
21,4,21004,3,2.2626,3.0226,2.2275,2.4186,2.4933,0.0077,2.918,108.2227,0.2715,0.2424,3,447.1117
20,4,20004,4,2.2651,3.0213,2.2331,2.4183,2.493,0.0167,2.9153,108.331,0.2706,0.2414,4,447.1267
19,4,19004,3,2.2712,3.0248,2.2393,2.4173,2.4916,0.009,2.9166,109.1221,0.2718,0.2435,3,446.8832
18,4,18004,2,2.2581,3.0221,2.2256,2.4159,2.4909,0.0012,2.9161,110.1151,0.2728,0.247,2,447.427
17,4,17004,3,2.2704,3.021,2.2392,2.4184,2.4927,0.0383,2.9148,109.2831,0.2706,0.2427,3,447.3184
16,4,16004,3,2.2559,3.0193,2.2213,2.415,2.49,0.0379,2.9137,109.2119,0.2717,0.2441,3,447.7593
15,4,15004,3,2.2552,3.0195,2.2221,2.4151,2.4899,0.0021,2.9129,108.3109,0.2717,0.2444,3,447.6802
14,4,14004,3,2.2688,3.0204,2.2378,2.4152,2.4899,0.0293,2.9138,109.5601,0.2722,0.246,3,447.8232
